"","seq_name","frac_map_valid","frac_map_invalid","frac_unmapped","specificity"
"1","mm10_rmsk_L1Md_F2_chrY:19348614-19353991",0.571428571428571,0.428571428571429,0,0.571428571428571
"2","mm10_rmsk_L1Md_A_chr7:60676275-60682856",0.2,0.2,0.6,1
"3","mm10_rmsk_L1Md_F2_chr15:47458033-47461980",1,0,0,1
"4","mm10_rmsk_L1Md_F_chrX:133468910-133472059",1,0,0,1
"5","mm10_rmsk_L1Md_F2_chr14:39604721-39609909",1,0,0,1
"6","mm10_rmsk_L1Md_T_chrY:74048520-74050779",1,0,0,1
"7","mm10_rmsk_L1Md_A_chr5:15011396-15016059",1,0,0,1
"8","mm10_rmsk_L1Md_T_chr5:56575038-56581276",1,0,0,1
"9","mm10_rmsk_L1Md_F2_chr9:19429351-19434510",1,0,0,1
"10","mm10_rmsk_L1Md_A_chr1:45165424-45171251",0.625,0,0.375,0.833333333333333
"11","mm10_rmsk_L1Md_F2_chr12:101438966-101442861",1,0,0,1
"12","mm10_rmsk_L1Md_T_chr5:13051810-13057978",1,0,0,1
"13","mm10_rmsk_L1Md_A_chr12:44646512-44652718",1,0,0,1
"14","mm10_rmsk_L1Md_F2_chrX:44865842-44869555",1,0,0,1
"15","mm10_rmsk_L1Md_F2_chr4:16022196-16026373",1,0,0,1
"16","mm10_rmsk_L1Md_A_chrX:66077484-66083044",0,0.75,0.25,NA
"17","mm10_rmsk_L1Md_T_chr10:57073006-57075304",1,0,0,1
"18","mm10_rmsk_L1Md_T_chr8:42266222-42272591",1,0,0,1
"19","mm10_rmsk_L1Md_F2_chr8:81200533-81204125",1,0,0,1
"20","mm10_rmsk_L1Md_F2_chrX:68165248-68170423",0.857142857142857,0,0.142857142857143,1
"21","mm10_rmsk_L1Md_T_chr5:86005705-86010891",0.857142857142857,0,0.142857142857143,1
"22","mm10_rmsk_L1Md_T_chr14:50535320-50540615",1,0,0,0.875
"23","mm10_rmsk_L1Md_A_chr8:93341648-93347227",0,0.875,0.125,NA
"24","mm10_rmsk_L1Md_T_chrX:27819766-27821819",0,1,0,0
"25","mm10_rmsk_L1Md_F2_chr2:88531123-88535716",1,0,0,1
"26","mm10_rmsk_L1Md_F2_chr18:33241232-33246543",0.857142857142857,0,0.142857142857143,1
"27","mm10_rmsk_L1Md_F2_chr9:39985602-39990753",1,0,0,1
"28","mm10_rmsk_L1Md_T_chr5:19956602-19962995",0.888888888888889,0.111111111111111,0,1
"29","mm10_rmsk_L1Md_T_chr7:89683280-89688989",0,0.625,0.375,NA
"30","mm10_rmsk_L1Md_A_chrY:12709601-12714056",0.8,0.2,0,1
"31","mm10_rmsk_L1Md_F2_chr6:68773982-68778961",0.833333333333333,0,0.166666666666667,1
"32","mm10_rmsk_L1Md_A_chr11:15298995-15304164",0.428571428571429,0.285714285714286,0.285714285714286,1
"33","mm10_rmsk_L1Md_A_chr12:93317503-93322820",0.857142857142857,0,0.142857142857143,1
"34","mm10_rmsk_L1Md_A_chrX:77210828-77215808",1,0,0,1
"35","mm10_rmsk_L1Md_T_chr13:85178383-85180764",0,0,1,NA
"36","mm10_rmsk_L1Md_F_chr10:38599936-38605160",1,0,0,1
"37","mm10_rmsk_L1Md_F2_chr14:83408725-83413777",1,0,0,1
"38","mm10_rmsk_L1Md_T_chr16:67329947-67334626",0.166666666666667,0.333333333333333,0.5,1
"39","mm10_rmsk_L1Md_F_chr10:47721330-47725244",1,0,0,1
"40","mm10_rmsk_L1Md_A_chr3:26444044-26450546",0,0.7,0.3,0
"41","mm10_rmsk_L1Md_F3_chr3:66275335-66280502",1,0,0,1
"42","mm10_rmsk_L1Md_T_chr3:157411094-157416385",0.857142857142857,0.142857142857143,0,1
"43","mm10_rmsk_L1Md_T_chr1:17288555-17294384",0.625,0.125,0.25,0.833333333333333
"44","mm10_rmsk_L1Md_F3_chr1:53512097-53517565",1,0,0,1
"45","mm10_rmsk_L1Md_A_chr14:68710334-68713123",1,0,0,1
"46","mm10_rmsk_L1Md_Gf_chrY:9923608-9928091",1,0,0,1
"47","mm10_rmsk_L1Md_A_chr3:150158673-150163830",0.857142857142857,0,0.142857142857143,1
"48","mm10_rmsk_L1Md_A_chr6:45168217-45174794",0.4,0.4,0.2,0.8
"49","mm10_rmsk_L1Md_A_chr19:59773885-59778885",0.857142857142857,0.142857142857143,0,1
"50","mm10_rmsk_L1Md_Gf_chr7:21404064-21406066",1,0,0,0.5
"51","mm10_rmsk_L1Md_F_chr4:49420415-49423209",1,0,0,1
"52","mm10_rmsk_L1Md_F_chr6:11514989-11519392",1,0,0,1
"53","mm10_rmsk_L1Md_F2_chr13:10430336-10433004",1,0,0,1
"54","mm10_rmsk_L1Md_T_chrY:89550436-89554236",1,0,0,1
"55","mm10_rmsk_L1Md_F2_chrX:152838653-152843253",0.833333333333333,0,0.166666666666667,1
"56","mm10_rmsk_L1Md_A_chrX:75345353-75349135",1,0,0,1
"57","mm10_rmsk_L1Md_T_chr2:25672090-25675345",0.666666666666667,0,0.333333333333333,1
"58","mm10_rmsk_L1Md_T_chr16:39435291-39440534",1,0,0,1
