"","seq_name","frac_map_valid","frac_map_invalid","frac_unmapped","specificity"
"1","hg38_rmsk_L1PA2_chr11:116570828-116576273",0.636363636363636,0.363636363636364,0,1
"2","hg38_rmsk_L1PA13_chr18:67845950-67851719",1,0,0,1
"3","hg38_rmsk_L1PA7_chr2:19581432-19586096",1,0,0,1
"4","hg38_rmsk_L1PA4_chr3:41824183-41830304",1,0,0,1
"5","hg38_rmsk_L1PA7_chr1:220897480-220900923",1,0,0,1
"6","hg38_rmsk_L1PA5_chr1:225268180-225270483",1,0,0,1
"7","hg38_rmsk_L1PA5_chr2:223012588-223018014",1,0,0,1
"8","hg38_rmsk_L1PA5_chr1:179684053-179690195",1,0,0,1
"9","hg38_rmsk_L1PA7_chr1:176414507-176417601",1,0,0,1
"10","hg38_rmsk_L1PA3_chr2:62645711-62651726",0.923076923076923,0.0769230769230769,0,1
"11","hg38_rmsk_L1PA8_chr6_GL000253v2_alt:324162-328244",0.333333333333333,0.666666666666667,0,0.5
"12","hg38_rmsk_L1PA11_chr7:119427462-119432467",1,0,0,1
"13","hg38_rmsk_L1PA10_chr11:90772712-90775439",1,0,0,1
"14","hg38_rmsk_L1PA3_chr2:225266215-225268375",1,0,0,1
"15","hg38_rmsk_L1PA15-16_chr11:5744945-5746949",1,0,0,1
"16","hg38_rmsk_L1PA16_chr9:104507686-104510585",1,0,0,1
"17","hg38_rmsk_L1PA3_chr9:63630205-63632328",0.8,0.2,0,1
"18","hg38_rmsk_L1PA5_chr3:51006625-51012783",1,0,0,1
"19","hg38_rmsk_L1PA11_chr4:100433916-100437054",1,0,0,1
"20","hg38_rmsk_L1PA3_chr9:14870657-14876831",1,0,0,1
"21","hg38_rmsk_L1PA8_chr8:136761613-136763634",1,0,0,1
"22","hg38_rmsk_L1PA4_chr12:7330838-7333048",1,0,0,1
"23","hg38_rmsk_L1PA6_chr8:55656151-55662303",1,0,0,1
"24","hg38_rmsk_L1PA15_chr6_GL000255v2_alt:386855-389223",0.6,0.4,0,0.6
"25","hg38_rmsk_L1PA15_chr10:88748645-88750823",1,0,0,1
